quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
12,130.0,130.0,3.0,2.0,8.1
5,119.0,120.0,5.0,6.0,2.85
10,122.0,200.0,4.0,5.0,26.999
11,64.0,300.0,6.0,7.0,18.0
7,88.0,88.0,3.0,2.0,5.9
8,62.0,124.0,3.0,3.0,0.76
Gò Vấp,230.0,700.0,7.0,8.0,32.0
11,55.0,110.0,2.0,2.0,0.85
10,40.0,80.0,2.0,2.0,11.7
8,128.0,492.0,7.0,8.0,24.5
5,65.0,130.0,3.0,3.0,1.12
8,50.0,75.0,1.0,1.0,0.009
Bình Tân,56.0,56.0,2.0,2.0,5.85
5,80.0,80.0,4.0,4.0,8.7
2,73.7,73.7,5.0,5.0,10.5
9,97.0,110.0,4.0,2.0,9.5
8,84.6,84.6,4.0,4.0,4.6
5,24.0,65.0,3.0,2.0,3.7
12,55.0,54.0,4.0,4.0,6.0
1,90.5,100.0,2.0,1.0,28.0
11,47.0,47.0,4.0,3.0,8.8
9,146.0,146.0,3.0,2.0,10.5
2,113.0,113.0,3.0,3.0,11.5
Tân Phú,77.0,139.0,3.0,3.0,5.9
11,31.0,62.0,2.0,2.0,3.75
9,78.0,174.0,4.0,4.0,8.1
