quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
4,81.0,81.0,2.0,2.0,3.588
4,122.0,122.0,3.0,3.0,3.299
4,80.64,80.64,2.0,2.0,1.85
4,122.0,122.0,3.0,3.0,1.393
4,81.0,81.0,2.0,2.0,1.835
4,72.0,72.0,2.0,2.0,2.015
4,84.0,84.0,2.0,2.0,2.75
4,102.0,102.0,3.0,2.0,2.585
4,84.0,84.0,2.0,2.0,1.46
4,135.0,135.0,4.0,2.0,8.6
4,43.0,43.0,1.0,1.0,2.9
4,100.0,100.0,3.0,2.0,6.0
4,85.0,85.0,2.0,2.0,5.5
4,71.0,71.0,2.0,2.0,5.0
4,75.0,75.0,2.0,2.0,5.3
4,49.0,49.0,1.0,1.0,3.7
4,80.0,80.0,2.0,2.0,6.5
4,70.0,70.0,2.0,1.0,5.3
4,92.0,92.0,2.0,2.0,5.5
4,100.0,100.0,3.0,2.0,9.2
4,92.0,92.0,2.0,2.0,5.5
4,139.0,139.0,4.0,2.0,9.2
4,57.0,57.0,1.0,1.0,3.8
4,170.0,170.0,3.0,3.0,0.007
4,75.0,75.0,2.0,2.0,5.5
4,60.0,60.0,2.0,1.0,3.7
4,72.0,72.0,2.0,2.0,5.0
4,72.0,72.0,2.0,1.0,4.9
4,73.0,73.0,2.0,1.0,4.9
4,99.0,99.0,1.0,2.0,5.75
4,135.0,135.0,4.0,2.0,8.5
4,80.0,80.0,2.0,2.0,4.6
4,105.0,105.0,3.0,2.0,6.0
4,111.0,111.0,3.0,2.0,7.3
4,83.0,83.0,3.0,2.0,6.5
4,80.0,80.0,2.0,2.0,6.9
4,80.0,80.0,2.0,2.0,6.5
4,61.0,61.0,2.0,1.0,3.7
4,80.0,80.0,2.0,2.0,7.5
4,117.0,117.0,3.0,2.0,9.7
4,45.0,45.0,2.0,2.0,2.9
4,60.0,60.0,1.0,1.0,4.3
4,68.0,68.0,2.0,2.0,6.25
4,57.0,57.0,1.0,1.0,3.8
4,75.0,75.0,2.0,2.0,1.53
4,84.0,84.0,2.0,2.0,1.46
4,71.0,71.0,2.0,2.0,1.605
4,81.0,81.0,2.0,2.0,1.835
4,122.0,122.0,3.0,3.0,1.93
4,108.0,756.0,6.0,7.0,45.0
4,60.0,60.0,2.0,2.0,2.47
4,92.0,92.0,3.0,2.0,3.8
4,70.0,70.0,2.0,2.0,2.02
4,80.0,80.0,2.0,2.0,2.3
4,68.0,68.0,2.0,1.0,2.92
4,413.0,5500.0,3.0,17.0,550.0
4,65.0,65.0,2.0,1.0,2.9
4,83.0,83.0,3.0,2.0,8.5
4,65.0,65.0,2.0,1.0,3.7
4,70.0,70.0,2.0,1.0,5.3
4,105.0,350.0,5.0,5.0,17.0
4,62.0,62.0,2.0,2.0,3.7
4,100.0,100.0,3.0,2.0,5.75
4,133.0,1200.0,19.0,19.0,45.0
4,63.0,150.0,3.0,3.0,32.5
4,122.0,757.0,24.0,25.0,44.0
4,57.7,115.0,2.0,1.0,7.18
4,52.0,165.0,3.0,4.0,2.69
4,50.0,50.0,1.0,1.0,2.75
4,92.0,92.0,2.0,2.0,3.4
4,50.0,50.0,1.0,1.0,3.7
4,50.0,50.0,1.0,1.0,3.7
